,owner,fuel,year,selling_price,km_driven,transmission,mileage,engine,max_power,seats
1247,Second Owner,Petrol,2015,2.2,40000,Manual,22.74,796,47.3,5
1248,Second Owner,Diesel,2014,1.9,139000,Manual,18.2,1248,73.8,8
1249,First Owner,Petrol,2016,4.0,80000,Manual,18.9,1197,82.0,5
1250,Second Owner,Diesel,2014,1.7,76000,Manual,25.44,936,56.3,5
1251,First Owner,Petrol,2019,6.5,3500,Manual,18.6,1197,81.86,5
1252,Second Owner,Petrol,2007,0.6,62000,Manual,16.1,796,37.0,4
1253,Second Owner,Petrol,2007,3.0,110000,Manual,12.0,2092,127.0,7
1254,Second Owner,Petrol,2012,1.25,40000,Manual,16.2,995,62.1,5
1255,First Owner,Diesel,2012,5.0,1500000,Manual,15.1,2179,140.0,7
1256,Second Owner,Diesel,2012,3.1,77000,Manual,19.3,1248,73.9,5
1257,Second Owner,Petrol,2011,1.3,110000,Manual,18.0,995,62.0,5
1258,First Owner,Petrol,2016,4.65,20000,Manual,20.51,998,67.04,5
1259,Second Owner,Diesel,2005,8.0,120005,Automatic,11.0,2987,198.5,5
1260,First Owner,Petrol,2012,2.6,16830,Manual,20.2,998,67.1,5
1261,First Owner,Diesel,2013,5.0,70000,Manual,15.96,2523,63.0,9
1262,First Owner,Petrol,2017,3.25,38000,Manual,23.01,999,67.0,5
1263,First Owner,Diesel,2013,4.0,80000,Manual,15.96,2523,63.0,9
1264,First Owner,Diesel,2018,32.0,50000,Manual,14.24,2755,174.5,7
1265,First Owner,Diesel,2007,2.0,50000,Manual,17.88,1396,52.8,5
1266,First Owner,Diesel,2013,4.5,52000,Manual,17.21,1493,100.0,7
1267,First Owner,Diesel,2012,2.29999,50000,Manual,17.0,1405,70.0,5
1268,First Owner,Petrol,2016,3.4,30000,Manual,21.1,814,55.2,5
1269,First Owner,Diesel,2014,5.5,103000,Manual,15.96,2523,62.1,7
1270,Second Owner,Diesel,2011,9.75,93468,Automatic,11.4,2953,153.86,7
1271,First Owner,Diesel,2019,38.0,20000,Automatic,18.0,1969,190.0,5
1272,Second Owner,Petrol,2010,2.25,80000,Manual,14.0,1595,102.0,5
1273,First Owner,Diesel,2018,32.5,12000,Automatic,10.91,3198,197.0,7
1274,First Owner,Diesel,2013,2.8,70000,Manual,25.0,1396,69.0,5
1275,First Owner,Petrol,2019,7.0,4500,Manual,19.5,1199,88.76,5
1276,First Owner,Diesel,2012,2.59,35000,Manual,23.03,1396,69.0,5
1277,First Owner,Diesel,2018,32.0,60000,Automatic,15.04,2755,174.5,7
1278,First Owner,Diesel,2018,14.0,30000,Manual,16.0,1997,140.0,7
1279,First Owner,Petrol,2015,4.16,40000,Automatic,17.01,1499,110.4,5
1280,First Owner,Diesel,2011,2.5,70000,Manual,19.0,1248,90.0,5
1281,First Owner,Diesel,2010,2.1,120000,Manual,21.12,1248,88.8,5
1282,Second Owner,Diesel,2008,2.9,120000,Manual,12.05,2179,120.0,8
1283,First Owner,Diesel,2012,2.2,90000,Manual,23.03,1396,69.0,5
1284,Second Owner,Diesel,2012,2.46,35000,Manual,23.03,1396,69.0,5
1285,First Owner,Petrol,2018,2.6,30000,Manual,16.8,796,34.2,8
1286,First Owner,Diesel,2018,10.5,70000,Manual,21.38,1396,88.7,5
1287,First Owner,Diesel,2012,2.9,60000,Manual,21.02,1248,88.76,5
1288,First Owner,Diesel,2013,3.1,70000,Manual,25.0,1396,69.0,5
1289,First Owner,Petrol,2018,7.0,6000,Manual,18.6,1197,81.83,5
1290,First Owner,Petrol,2016,5.5,20000,Manual,20.4,1197,81.8,5
1291,First Owner,Diesel,2017,4.5,70000,Manual,19.09,1405,69.01,5
1292,First Owner,Petrol,2016,7.73,65000,Manual,17.8,1497,117.3,5
1293,First Owner,Petrol,2017,4.5,25000,Manual,23.84,1199,84.0,5
1294,First Owner,Petrol,2019,4.09999,10000,Manual,15.37,1196,73.0,5
1295,Second Owner,Petrol,2014,6.0,80000,Automatic,11.07,2496,179.5,5
1296,First Owner,Petrol,2010,2.5,63000,Manual,18.6,1199,79.4,5
1297,First Owner,Diesel,2008,0.7,100000,Manual,16.8,1405,62.0,5
1298,First Owner,Petrol,2017,41.0,17000,Automatic,9.5,3604,280.0,5
1299,First Owner,Diesel,2013,2.5,80000,Manual,19.09,1405,69.01,5
1300,First Owner,Diesel,2018,12.5,12000,Manual,19.6,1461,108.45,5
1301,First Owner,Petrol,2017,8.89,25000,Manual,17.0,1497,121.31,5
1302,Second Owner,Diesel,2017,7.5,40000,Manual,22.54,1396,88.73,5
1303,First Owner,Diesel,2011,6.0,202000,Manual,17.67,1968,138.08,5
1304,First Owner,Diesel,2018,10.0,40000,Manual,28.09,1248,88.5,5
1305,Second Owner,Petrol,2008,2.5,120000,Manual,17.7,1497,78.0,5
1306,First Owner,Diesel,2015,6.0,60000,Manual,26.59,1248,74.0,5
1307,First Owner,Petrol,2009,1.65,60000,Manual,19.0,998,67.1,5
1308,Second Owner,Petrol,2004,1.18,60000,Manual,19.7,796,46.3,5
1309,First Owner,Diesel,2016,7.0,78000,Manual,27.39,1248,74.0,5
1310,Second Owner,Diesel,2013,5.85,80000,Manual,20.46,1461,83.8,5
1311,Second Owner,Petrol,2006,1.5,100000,Manual,19.7,796,46.3,5
1312,Second Owner,Diesel,2013,5.99,60000,Manual,20.77,1248,88.76,7
1313,First Owner,Petrol,2016,5.7,90000,Manual,20.4,1197,81.8,5
1314,Second Owner,Diesel,2013,4.4,75000,Manual,22.07,1199,73.9,5
1315,Second Owner,Diesel,2005,3.0,185000,Manual,11.4,2494,100.6,7
1316,Second Owner,Petrol,2015,3.0,71717,Automatic,19.34,1198,76.0,5
1317,Second Owner,Diesel,2011,5.0,150000,Automatic,11.79,2179,120.0,8
1318,First Owner,Diesel,2016,6.6,55000,Manual,26.59,1248,74.0,5
1319,Second Owner,Petrol,2012,2.56,90000,Manual,15.3,1596,99.6,5
1320,First Owner,Petrol,2018,4.09999,35000,Manual,23.01,999,67.0,5
1321,Second Owner,Diesel,2015,18.88,120000,Manual,12.55,2982,168.5,7
1322,First Owner,Diesel,2010,3.0,100000,Manual,13.0,2489,95.0,8
1323,First Owner,Diesel,2016,9.0,120000,Manual,14.1,2179,147.94,5
1324,First Owner,Petrol,2014,1.9,60000,Manual,19.0,998,67.1,5
1325,First Owner,Diesel,2019,8.0,2000,Manual,15.96,2523,63.0,9
1326,First Owner,Diesel,2012,4.5,100000,Manual,14.0,2523,75.0,8
1327,First Owner,Diesel,2015,4.0,110000,Manual,14.95,2489,93.7,7
1328,Second Owner,Diesel,2009,1.5,90000,Manual,13.93,2179,138.1,7
1329,First Owner,Diesel,2011,2.0,84321,Manual,23.57,1396,70.0,5
1330,First Owner,Diesel,2013,6.0,177000,Manual,15.1,2179,140.0,7
1331,First Owner,Diesel,2010,1.75,60000,Manual,18.0,1248,75.0,5
1332,Second Owner,Diesel,2008,0.99,205000,Manual,19.09,1396,69.0,5
1333,Second Owner,Petrol,2008,2.15,70000,Manual,20.36,1197,78.9,5
1334,Second Owner,Diesel,2013,5.2,126000,Manual,19.01,1461,108.45,5
1335,Second Owner,Diesel,2016,22.8,120000,Automatic,10.91,3198,197.0,7
1336,First Owner,Diesel,2015,2.85,70000,Manual,19.1,1405,70.0,5
1337,First Owner,Diesel,2017,6.6,82000,Manual,18.49,1493,100.0,7
1338,Second Owner,Petrol,2015,5.15,45000,Manual,20.85,1197,83.14,5
1339,Second Owner,Diesel,2012,2.95,70000,Manual,21.64,1461,84.8,5
1340,Second Owner,Diesel,2015,7.0,80000,Manual,20.45,1461,83.8,5
1341,First Owner,Diesel,2017,11.0,45000,Manual,15.4,2179,120.0,7
1342,First Owner,Petrol,2017,3.0,60000,Manual,20.3,998,68.05,5
1343,First Owner,Petrol,2013,4.5,41800,Manual,18.6,1197,85.8,5
1344,Second Owner,Diesel,2017,7.0,50000,Manual,28.4,1248,74.02,5
1345,First Owner,Diesel,2012,2.5,40000,Manual,20.0,1399,68.0,5
1346,Second Owner,Petrol,2009,1.4,96000,Manual,18.9,1061,67.0,5
1347,First Owner,Diesel,2012,2.5,117000,Manual,14.0,2498,112.0,8
1348,Second Owner,Petrol,2011,2.1,110000,Manual,19.81,1086,68.05,5
1349,Second Owner,Diesel,2014,4.2,100000,Manual,25.8,1498,98.6,5
1350,Second Owner,Petrol,2012,3.2,70000,Manual,16.95,1498,97.7,5
1351,Second Owner,Petrol,2010,2.0,110000,Manual,17.3,1061,64.0,5
1352,First Owner,Petrol,2016,3.1,15000,Manual,22.74,796,47.3,5
1353,Second Owner,Diesel,2012,2.0,80000,Manual,20.8,1461,65.0,5
1354,First Owner,Petrol,2014,3.5,50000,Manual,18.5,1197,85.8,5
1355,First Owner,Petrol,2018,4.44,15000,Manual,21.1,814,55.2,5
1356,First Owner,Petrol,2017,3.0,25000,Manual,22.7,799,53.64,5
1357,Second Owner,Diesel,2011,2.25,57000,Manual,21.0,1461,64.1,5
1358,First Owner,Diesel,2012,6.0,75000,Manual,15.96,2523,62.1,7
1359,First Owner,Petrol,2013,2.6,26000,Manual,15.37,1196,73.0,5
1360,First Owner,Diesel,2015,3.75,160000,Manual,24.4,1120,71.01,5
1361,First Owner,Petrol,2013,2.6,26000,Manual,15.37,1196,73.0,5
1362,Second Owner,Petrol,2010,1.5,120000,Manual,19.7,796,46.3,5
1363,Second Owner,Petrol,2014,1.1,50000,Manual,19.7,796,46.3,5
1364,First Owner,Petrol,2012,2.25,40000,Manual,19.7,796,46.3,5
1365,First Owner,Petrol,2017,8.6,28000,Manual,17.8,1497,117.3,5
1366,First Owner,Diesel,2018,6.5,50000,Manual,28.4,1248,74.02,5
1367,First Owner,Diesel,2014,6.5,90000,Manual,20.77,1248,88.8,7
1368,First Owner,Diesel,2016,7.1,40000,Manual,24.8,1396,88.7,5
1369,First Owner,Diesel,2017,4.3,113000,Manual,25.83,1498,99.0,5
1370,Second Owner,Diesel,2011,3.05,188000,Manual,17.8,1248,75.0,5
1371,First Owner,Diesel,2011,2.2,100000,Manual,20.0,1399,68.0,5
1372,Second Owner,Diesel,2017,6.6,67000,Manual,18.49,1493,100.0,7
1373,First Owner,Petrol,2015,11.0,50000,Manual,14.28,1798,138.03,5
1374,First Owner,Diesel,2013,24.5,60000,Automatic,16.36,2179,187.7,5
1375,First Owner,Diesel,2017,6.25,34000,Automatic,22.0,1498,108.495,5
1376,Second Owner,Petrol,2005,1.3,140000,Manual,18.9,998,67.1,5
1377,Second Owner,Petrol,2012,5.4,100000,Manual,16.8,1497,116.3,5
1378,First Owner,Petrol,2017,5.5,10000,Automatic,18.9,1197,81.86,5
1379,First Owner,Petrol,2018,4.75,30000,Manual,21.63,998,67.04,5
1380,First Owner,Diesel,2015,6.5,80000,Manual,26.0,1498,98.6,5
1381,Second Owner,Petrol,2011,3.5,80000,Manual,16.0,1198,90.0,5
1382,First Owner,Petrol,2015,2.65,54000,Manual,23.95,998,67.05,5
1383,First Owner,Petrol,2018,3.3,30000,Manual,23.01,999,67.0,5
1384,First Owner,Petrol,2019,3.95,5000,Manual,15.37,1196,73.0,7
1385,First Owner,Diesel,2015,7.0,58945,Manual,18.49,1493,100.0,7
1386,First Owner,Diesel,2012,3.0,90000,Manual,20.0,1399,68.0,5
1387,First Owner,Diesel,2011,6.5,375000,Manual,12.8,2494,102.0,8
1388,Second Owner,Diesel,2014,4.25,80000,Manual,15.11,1598,103.6,5
1389,Second Owner,Diesel,2015,2.5,80000,Manual,19.09,1405,69.01,5
1390,First Owner,Diesel,2015,4.59999,156975,Manual,15.96,2523,62.1,9
1391,First Owner,Diesel,2017,15.94,5000,Manual,21.43,1364,86.79,5
1392,First Owner,Petrol,2014,3.0,50000,Manual,18.2,1199,82.4,5
1393,First Owner,Diesel,2013,4.84999,120000,Manual,12.05,2179,120.0,9
1394,First Owner,Petrol,2015,5.0,58000,Manual,17.19,1197,81.86,5
1395,First Owner,Petrol,2012,3.5,50000,Manual,16.95,1498,97.7,5
1396,First Owner,Petrol,2017,5.5,40000,Automatic,20.89,1197,81.8,5
1397,First Owner,Petrol,2018,8.5,7800,Manual,17.5,1199,88.7,5
1398,First Owner,Petrol,2016,2.4,50000,Manual,22.74,796,47.3,5
1399,First Owner,Diesel,2011,9.5,68000,Manual,13.1,2499,141.0,7
1400,Second Owner,Petrol,2015,4.23,60000,Manual,16.02,1373,93.7,7
1401,Second Owner,Petrol,2005,0.9,74000,Manual,12.8,1396,85.0,5
1402,Second Owner,Diesel,2011,3.5,58000,Manual,13.93,2179,138.1,7
1403,First Owner,Petrol,2015,4.5,70000,Manual,18.16,1196,86.8,5
1404,Second Owner,Petrol,2009,1.5,110000,Manual,20.36,1197,78.9,5
1405,First Owner,Diesel,2016,5.11,80000,Manual,22.54,1396,88.73,5
1406,First Owner,Diesel,2018,8.5,59000,Manual,24.2,1498,93.87,7
1407,First Owner,Diesel,2018,2.5,110000,Manual,25.0,1396,69.0,5
1408,First Owner,Petrol,2020,4.2,25000,Manual,21.63,998,67.04,5
1409,First Owner,Petrol,2014,1.8,55000,Manual,22.74,796,47.3,5
1410,First Owner,Diesel,2015,4.0,25000,Manual,27.62,793,47.0,5
1411,First Owner,Diesel,2009,1.5,300000,Manual,14.0,2498,112.0,7
1412,First Owner,Diesel,2016,5.0,143200,Manual,25.83,1498,99.0,5
1413,First Owner,Diesel,2017,16.89999,60000,Manual,17.1,1956,170.0,5
1414,First Owner,Diesel,2012,2.04999,120000,Manual,23.08,1461,63.1,5
1415,Second Owner,Diesel,2014,4.59999,145000,Manual,26.21,1248,88.5,5
1416,First Owner,Petrol,2017,6.0,30000,Manual,18.6,1197,81.83,5
1417,First Owner,Petrol,2019,5.85,8000,Manual,18.9,1197,81.86,5
1418,First Owner,Diesel,2012,5.51,170000,Manual,13.1,2499,141.0,7
1419,First Owner,Diesel,2013,5.25,100000,Manual,23.4,1248,74.0,5
1420,First Owner,Petrol,2012,1.6,62000,Manual,14.0,796,35.0,5
1421,First Owner,Diesel,2014,8.25,110000,Manual,15.1,2179,140.0,7
1422,Second Owner,Diesel,2015,6.0,80000,Manual,13.58,2499,72.4,9
1423,Second Owner,Petrol,2002,0.65,80000,Manual,17.3,993,60.0,5
1424,First Owner,Diesel,2013,5.5,100000,Manual,23.4,1248,74.0,5
1425,First Owner,Diesel,2015,6.5,120000,Manual,15.96,2523,63.0,9
1426,First Owner,Diesel,2019,7.5,24000,Manual,28.4,1248,74.02,5
1427,First Owner,Diesel,2017,3.8,80000,Manual,25.32,1198,77.0,6
1428,First Owner,Diesel,2012,4.0,138000,Manual,22.32,1582,126.32,5
1429,First Owner,Diesel,2017,7.5,60000,Manual,18.49,1493,100.0,7
1430,First Owner,Petrol,2011,1.5,80000,Manual,18.0,995,62.0,5
1431,First Owner,Petrol,2016,2.45,50000,Manual,22.74,796,47.3,5
1432,First Owner,Diesel,2013,2.6,189000,Manual,21.02,1248,88.76,5
1433,Second Owner,Diesel,2014,4.11,90000,Automatic,21.21,1498,103.2,5
1434,First Owner,Diesel,2014,4.5,56000,Manual,21.9,1396,88.76,5
1435,Second Owner,Diesel,2012,13.0,140000,Automatic,18.88,1995,184.0,5
1436,First Owner,Petrol,2016,3.51,60000,Manual,23.1,998,67.04,5
1437,First Owner,Diesel,2012,5.5,130000,Manual,15.1,2179,140.0,7
1438,Second Owner,Diesel,2013,13.0,140000,Automatic,18.88,1995,184.0,5
1439,First Owner,Diesel,2013,2.6,189000,Manual,21.02,1248,88.76,5
1440,Second Owner,Diesel,2014,4.11,90000,Automatic,21.21,1498,103.2,5
1441,First Owner,Diesel,2014,4.5,56000,Manual,21.9,1396,88.76,5
1442,Second Owner,Diesel,2012,13.0,140000,Automatic,18.88,1995,184.0,5
1443,First Owner,Petrol,2016,3.51,60000,Manual,23.1,998,67.04,5
1444,First Owner,Diesel,2012,5.5,130000,Manual,15.1,2179,140.0,7
1445,Second Owner,Diesel,2013,13.0,140000,Automatic,18.88,1995,184.0,5
1446,First Owner,Diesel,2016,7.5,35000,Manual,20.45,1461,83.8,5
1447,First Owner,Diesel,2015,8.0,35000,Manual,20.45,1461,83.8,5
1448,First Owner,Diesel,2011,3.5,156000,Manual,11.57,2179,138.1,7
1449,First Owner,Petrol,2013,2.0,90000,Manual,22.74,796,47.3,5
1450,First Owner,Diesel,2016,8.0,36000,Manual,19.01,1461,108.5,5
1451,Second Owner,Petrol,2017,3.5,20000,Manual,21.1,814,55.2,5
1452,First Owner,Diesel,2011,3.5,160000,Manual,13.93,2179,138.0,7
1453,First Owner,Diesel,2006,2.5,185000,Manual,12.7,2609,116.6,9
1454,Second Owner,Diesel,2010,1.7,110000,Manual,17.0,1405,71.0,5
1455,First Owner,Petrol,2018,3.95,10800,Manual,25.17,799,53.3,5
1456,First Owner,Diesel,2012,4.5,120000,Manual,15.96,2523,62.1,7
1457,First Owner,Petrol,2019,5.0,15000,Manual,20.89,1197,81.8,5
1458,First Owner,Diesel,2012,2.0,67500,Manual,12.2,1948,68.0,10
1459,First Owner,Diesel,2017,12.0,30000,Manual,17.6,2179,153.86,7
1460,First Owner,Diesel,2016,4.0,50000,Manual,25.32,1198,77.0,6
1461,First Owner,Diesel,2016,6.5,100000,Manual,18.49,1493,100.0,7
1462,First Owner,Diesel,2016,5.5,150000,Manual,15.96,2523,63.0,9
1463,First Owner,Diesel,2015,11.0,110000,Manual,16.0,2179,140.0,7
1464,First Owner,Petrol,2012,2.54999,30000,Manual,22.74,796,47.3,5
1465,First Owner,Petrol,2011,1.8,60000,Manual,19.7,796,46.3,5
1466,Second Owner,Diesel,2010,1.6,255000,Manual,13.0,2489,95.0,8
1467,Second Owner,Diesel,2008,2.25,120000,Manual,16.52,1991,123.7,5
1468,Second Owner,Petrol,2015,2.7,49900,Manual,22.74,796,47.3,5
1469,First Owner,Diesel,2012,3.1,86000,Manual,21.12,1248,88.8,5
1470,First Owner,Petrol,2015,2.25,71850,Manual,20.63,1198,67.0,5
1471,First Owner,Petrol,2011,1.8,35000,Manual,21.1,814,55.2,5
1472,First Owner,Petrol,2015,5.5,50000,Manual,20.85,1197,83.14,5
1473,First Owner,Diesel,2015,9.0,145000,Manual,22.7,1582,126.2,5
1474,First Owner,Diesel,2018,15.3,40000,Manual,16.0,2179,138.0,7
1475,First Owner,Diesel,2015,5.9,110000,Manual,27.39,1248,74.0,5
1476,First Owner,Diesel,2017,26.0,70000,Automatic,20.38,1968,143.0,5
1477,First Owner,Diesel,2016,4.75,110000,Manual,23.2,1248,73.94,5
1478,First Owner,Diesel,2018,7.0,29000,Manual,24.0,1186,73.97,5
1479,First Owner,Petrol,2011,3.76,60000,Manual,18.9,998,67.1,5
1480,First Owner,Petrol,2016,3.9,80000,Manual,20.51,998,67.04,5
1481,Second Owner,Diesel,2012,7.25,159000,Manual,12.8,2494,102.0,7
1482,Second Owner,Diesel,2012,3.25,110000,Manual,15.96,2523,62.1,7
1483,Second Owner,Petrol,2010,1.7,75000,Manual,19.7,796,46.3,5
1484,Second Owner,Petrol,2012,1.95,80000,Manual,21.1,814,55.2,5
1485,Second Owner,Petrol,2018,6.5,22000,Manual,21.56,1462,103.25,5
1486,First Owner,Diesel,2014,18.5,76131,Automatic,13.22,2967,241.4,5
1487,Second Owner,Petrol,2018,7.0,30000,Manual,18.6,1197,81.83,5
1488,First Owner,Diesel,2014,30.0,65000,Automatic,12.07,2967,241.4,7
1489,First Owner,Diesel,2018,9.0,60000,Manual,15.4,2523,75.0,7
1490,First Owner,Diesel,2013,3.5,80000,Manual,22.07,1199,73.9,5
1491,Second Owner,Petrol,2005,2.85,80000,Automatic,9.0,2997,218.0,5
1492,First Owner,Diesel,2012,18.5,70000,Automatic,12.07,2967,241.4,7
1493,First Owner,Petrol,2018,6.0,20000,Manual,19.5,1199,88.76,5
1494,First Owner,Petrol,2018,5.65,19000,Manual,18.78,999,75.0,5
1495,First Owner,Petrol,2000,0.86,46951,Manual,18.5,796,53.0,5
1496,First Owner,Petrol,2016,3.29,19000,Manual,20.63,1198,67.0,5
1497,First Owner,Diesel,2016,6.5,50000,Manual,22.77,1498,98.59,5
1498,First Owner,Diesel,2015,8.22,60000,Manual,19.67,1582,126.2,5
1499,Second Owner,Diesel,2013,3.45,100000,Manual,19.01,1461,108.45,5
1500,First Owner,Petrol,2001,0.3,10000,Manual,17.3,993,60.0,5
1501,Second Owner,Diesel,2012,3.3,50000,Manual,22.9,1248,74.0,5
1502,Second Owner,Petrol,2014,3.0,74537,Manual,20.51,998,67.04,5
1503,Second Owner,Petrol,2009,2.0,90000,Automatic,12.6,1586,103.3,5
1504,Second Owner,Petrol,2010,0.9,70000,Manual,18.0,995,62.0,5
1505,Second Owner,Petrol,2010,2.0,80000,Manual,18.9,1061,67.0,5
1506,First Owner,Diesel,2016,5.5,35000,Manual,24.4,1120,71.0,5
1507,First Owner,Petrol,2015,2.5,23500,Manual,18.6,1199,76.8,5
1508,First Owner,Diesel,2017,9.75,82000,Manual,25.6,1498,97.9,5
1509,Second Owner,Diesel,2014,9.0,100000,Manual,12.99,2494,100.6,8
1510,First Owner,Petrol,2018,6.1,15000,Manual,18.6,1197,81.83,5
1511,First Owner,Diesel,2017,6.2,30000,Manual,27.39,1248,74.0,5
1512,First Owner,Petrol,2016,4.0,30000,Manual,18.9,1197,82.0,5
1513,First Owner,Petrol,2019,5.0,11000,Manual,21.63,998,67.0,5
1514,First Owner,Petrol,2017,2.0,140000,Manual,19.02,1198,67.05,7
1515,First Owner,Diesel,2016,3.6,110000,Manual,23.0,1248,88.7,5
1516,First Owner,Petrol,2012,2.52,48000,Manual,20.92,998,67.1,5
1517,Second Owner,Diesel,2012,2.8,70000,Manual,22.9,1248,74.0,5
1518,Second Owner,Petrol,2018,5.09999,70000,Manual,22.0,1197,81.8,5
1519,First Owner,Diesel,2016,10.5,58000,Manual,15.4,1997,120.0,7
1520,Second Owner,Petrol,2005,0.6,90000,Manual,17.3,993,60.0,5
1521,Second Owner,Diesel,2010,3.2,40000,Manual,14.0,2498,112.0,7
1522,First Owner,Diesel,2013,5.2,110000,Manual,12.05,2179,120.0,9
1523,Second Owner,Diesel,2007,2.5,80000,Manual,11.57,2179,138.1,7
1524,First Owner,Diesel,2017,7.25,60000,Manual,24.3,1248,88.5,5
1525,First Owner,Diesel,2015,5.85,50000,Manual,15.96,2523,62.1,7
1526,First Owner,Petrol,2017,4.3,25000,Manual,23.84,1199,84.0,5
1527,Second Owner,Diesel,2011,2.35,100000,Manual,22.9,1248,74.0,5
1528,First Owner,Diesel,2016,4.5,85000,Manual,25.8,1498,98.6,5
1529,First Owner,Diesel,2016,7.5,83000,Manual,24.3,1248,88.5,5
1530,First Owner,Petrol,2013,2.0,50000,Manual,22.74,796,47.3,5
1531,First Owner,Diesel,2014,5.0,100000,Manual,15.96,2523,62.1,7
1532,First Owner,Petrol,2008,1.28,19000,Manual,19.7,796,46.3,5
1533,First Owner,Diesel,2017,6.9,60000,Manual,16.5,1493,70.0,7
1534,Second Owner,Diesel,2014,6.5,65000,Manual,15.96,2523,62.1,7
1535,Second Owner,Petrol,2012,5.6,40000,Manual,16.8,1497,116.3,5
1536,First Owner,Petrol,2016,4.0,25000,Manual,23.1,998,67.04,5
1537,First Owner,Petrol,2012,2.0,29500,Manual,20.92,998,67.1,5
1538,First Owner,Petrol,2018,9.5,13887,Manual,17.0,1591,121.3,5
1539,Second Owner,Petrol,2016,3.0,50000,Manual,22.74,796,47.3,5
1540,Second Owner,Petrol,2016,3.15,30000,Manual,25.17,799,53.3,5
1541,First Owner,Petrol,2012,2.2,100000,Manual,22.74,796,47.3,5
1542,Second Owner,Petrol,2011,1.3,60000,Manual,14.49,1399,92.7,5
1543,Second Owner,Diesel,2016,5.95,60000,Manual,22.54,1396,88.73,5
1544,First Owner,Diesel,2011,1.1,120000,Manual,19.4,1405,70.0,5
1545,First Owner,Petrol,2017,6.8,13500,Manual,17.0,1497,121.36,5
1546,First Owner,Diesel,2013,2.8,52000,Manual,20.3,1248,75.0,5
1547,Second Owner,Petrol,2017,5.3,30000,Manual,21.4,1197,83.1,5
1548,First Owner,Petrol,2017,6.1,14000,Manual,19.1,1197,82.0,5
1549,Second Owner,Diesel,2014,5.0,90000,Manual,15.05,2179,147.9,7
1550,First Owner,Diesel,2018,5.0,50000,Manual,24.7,1047,69.0,5
1551,Second Owner,Diesel,2010,2.5,120000,Manual,13.0,2489,95.0,8
1552,First Owner,Petrol,2018,3.25,10000,Manual,21.1,814,55.2,5
1553,First Owner,Petrol,2018,5.5,10000,Manual,21.4,1197,83.1,5
1554,First Owner,Petrol,2018,7.2,25000,Manual,20.73,1373,91.1,5
1555,First Owner,Petrol,2017,9.5,20000,Manual,17.0,1591,121.3,5
1556,First Owner,Diesel,2013,3.5,60000,Manual,22.9,1248,74.0,5
1557,First Owner,Petrol,2018,5.0,40000,Manual,18.9,1197,81.86,5
1558,First Owner,Diesel,2012,3.8,60000,Manual,19.3,1248,73.9,5
1559,First Owner,Petrol,2015,3.8,50000,Automatic,16.9,1197,82.0,5
1560,First Owner,Petrol,2017,9.0,20000,Manual,17.0,1591,121.3,5
1561,First Owner,Petrol,2017,2.95,35000,Manual,24.7,796,47.3,5
1562,First Owner,Diesel,2016,6.4,40000,Manual,28.09,1248,88.5,5
1563,First Owner,Diesel,2018,7.9,60000,Manual,21.5,1497,108.5,5
1564,First Owner,Petrol,2015,6.25,20000,Manual,17.01,1591,121.4,5
1565,Second Owner,Petrol,2017,6.04,30000,Manual,17.0,1497,121.36,5
1566,First Owner,Petrol,2015,3.15,29000,Manual,23.95,998,67.05,5
1567,First Owner,Diesel,2019,9.5,17000,Manual,20.0,1497,115.0,5
1568,First Owner,Petrol,2017,4.0,50000,Manual,20.51,998,67.04,5
1569,First Owner,Petrol,2018,7.0,42000,Automatic,18.6,1368,98.63,5
1570,Second Owner,Diesel,2011,7.0,120000,Manual,12.8,2494,102.0,8
1571,First Owner,Diesel,2012,2.6,110000,Manual,21.03,1461,65.0,5
1572,First Owner,Diesel,2012,2.0,90000,Manual,23.57,1396,70.0,5
1573,First Owner,Petrol,2020,5.8,70000,Manual,23.26,1197,88.5,5
1574,Second Owner,Diesel,2011,3.3,66000,Manual,20.5,1598,105.0,5
1575,First Owner,Petrol,2018,13.5,5000,Automatic,14.8,1591,121.3,5
1576,Second Owner,Diesel,2014,2.5,50000,Manual,21.03,1461,65.0,5
1577,First Owner,Petrol,2019,7.25,25000,Manual,15.41,1598,103.2,5
1578,First Owner,Diesel,2013,3.0,70000,Manual,23.4,1248,74.0,5
1579,Second Owner,Petrol,2006,1.2,40000,Manual,16.1,796,37.0,4
1580,First Owner,Diesel,2016,11.75,110000,Manual,16.0,2179,140.0,7
1581,First Owner,Diesel,2009,3.8,150000,Manual,13.93,2179,138.0,7
1582,First Owner,Diesel,2014,4.0,45000,Manual,19.1,1405,70.0,5
1583,Second Owner,Diesel,2011,2.29999,140000,Manual,11.57,2179,138.1,7
1584,Second Owner,Petrol,2003,1.1,83000,Manual,13.8,1299,70.0,5
1585,Second Owner,Diesel,2011,5.5,106000,Automatic,16.96,1968,138.1,5
1586,Second Owner,Petrol,2017,2.65,40000,Manual,16.8,796,34.2,8
1587,First Owner,Petrol,2015,2.8,80000,Manual,22.74,796,47.3,5
1588,Second Owner,Petrol,2005,1.3,50000,Manual,15.3,1341,83.0,5
1589,First Owner,Petrol,2015,3.5,50000,Manual,18.2,1199,82.4,5
1590,First Owner,Petrol,2009,2.0,120000,Manual,18.5,1197,85.8,5
1591,First Owner,Petrol,2018,5.5,24400,Manual,22.0,1197,81.8,5
1592,Second Owner,Diesel,2013,4.0,60000,Manual,15.96,2523,62.1,7
